Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  01:00:00,-6.300000000000007,16.033267155774916,0.0,0.47193600000000016,0.06714835423648014,0.40478764576351985,30.034333072935615,28.302719452517477,36.90484957241846,12.20000000000001,12.20000000000001 
 01/21  02:00:00,-6.300000000000007,16.028706545025285,0.0,0.58992,0.08293762241673213,0.5069823775832679,30.05509489301958,27.922480630808388,36.90390850145899,12.20000000000001,12.20000000000001 
 01/21  03:00:00,-6.300000000000007,16.02885258912155,0.0,0.7079039999999999,0.10032127607340373,0.6075827239265962,30.057023846119387,27.473984176563378,36.90307350033181,12.20000000000001,12.20000000000001 
 01/21  04:00:00,-6.300000000000007,16.024471886802183,0.0,0.7079039999999999,0.10054354669782567,0.6073604533021744,30.057486576650189,27.468037651735704,36.90232618693387,12.20000000000001,12.20000000000001 
 01/21  05:00:00,-6.300000000000007,16.02578509663711,0.0,0.668576,0.09575799655442007,0.5728180034455799,30.05815562021312,27.589202401932199,36.901653705262138,12.20000000000001,12.20000000000001 
 01/21  06:00:00,-6.300000000000007,16.02690420940756,0.0,0.629248,0.09060713656103302,0.538640863438967,30.069609205375899,27.731522868163674,36.90104403795634,12.20000000000001,12.20000000000001 
 01/21  07:00:00,-6.300000000000007,16.45096544034138,0.0,0.039328,0.00491988858670842,0.03440811141329158,30.06438398993345,29.940043948006,36.909958330840677,12.20000000000001,12.20000000000001 
 01/21  08:00:00,-6.300000000000007,16.331239188301969,0.0,0.0,0.0,0.0,30.06438398993345,30.06438398993345,36.92354574498107,12.20000000000001,12.20000000000001 
 01/21  09:00:00,-6.300000000000007,16.111019244717835,0.0,0.23596800000000005,0.04227103504738454,0.19369696495261544,30.069479711222127,28.932871515074987,36.92975759901743,12.20000000000001,12.20000000000001 
 01/21  10:00:00,-6.300000000000007,16.158714615240596,0.0,0.0,0.0,0.0,30.068611772366635,30.068611772366635,36.93267134313525,12.20000000000001,12.20000000000001 
 01/21  11:00:00,-6.300000000000007,16.165930200906716,0.0,0.23596800000000005,0.041777552624403,0.194190447375597,30.070589912483024,28.950138743790569,36.934345150097218,12.20000000000001,12.20000000000001 
 01/21  12:00:00,-6.300000000000007,16.10593173005673,0.0,0.23596800000000005,0.0415304302046703,0.1944375697953297,30.062736205481845,28.949947150241937,36.93553792246554,12.20000000000001,12.20000000000001 
 01/21  13:00:00,-6.300000000000007,16.15975006107889,0.0,0.0,0.0,0.0,30.05039690898936,30.05039690898936,36.93647399983058,12.20000000000001,12.20000000000001 
 01/21  14:00:00,-6.300000000000007,16.160575986213958,0.0,0.23596800000000005,0.041514246886094178,0.1944537531139058,30.0734228821347,28.961598923896305,36.93727757956635,12.20000000000001,12.20000000000001 
 01/21  15:00:00,-6.300000000000007,16.102410251336314,0.0,0.23596800000000005,0.04143951909884588,0.19452848090115414,30.07577691706688,28.96643166901584,36.93799144470608,12.20000000000001,12.20000000000001 
 01/21  16:00:00,-6.300000000000007,16.164866120482786,0.0,0.0,0.0,0.0,30.074267948977249,30.074267948977249,36.938600683233847,12.20000000000001,12.20000000000001 
 01/21  17:00:00,-6.300000000000007,16.15449015620159,0.0,0.23596800000000005,0.04132637819959059,0.1946416218004094,30.06886881036957,28.962949989999733,36.939153029539898,12.20000000000001,12.20000000000001 
 01/21  18:00:00,-6.300000000000007,16.10443798576833,0.0,0.23596800000000005,0.04118819621814158,0.1947798037818584,30.058545178902926,28.956623692478048,36.939654353601479,12.20000000000001,12.20000000000001 
 01/21  19:00:00,-6.300000000000007,16.01000307191908,0.0,0.9438719999999996,0.13641831346379733,0.8074536865362029,30.35675473352932,26.8738614342015,36.93061216642285,12.20000000000001,12.20000000000001 
 01/21  20:00:00,-6.300000000000007,16.031267765783036,0.0,0.668576,0.08961657258704504,0.5789594274129549,30.061804678818516,27.77528950034143,36.91715165087315,12.20000000000001,12.20000000000001 
 01/21  21:00:00,-6.300000000000007,16.02168419823646,0.0,0.7079039999999999,0.09982443064555494,0.608079569354445,30.087112837461644,27.519705577016969,36.91093010942941,12.20000000000001,12.20000000000001 
 01/21  22:00:00,-6.300000000000007,16.022374028199449,0.0,0.7079039999999999,0.09979898209609851,0.6081050179039015,30.079336208046749,27.511998129209535,36.90777650829919,12.20000000000001,12.20000000000001 
 01/21  23:00:00,-6.300000000000007,16.02534701534766,0.0,0.7472319999999999,0.10487287798924204,0.642359122010758,30.056927827325504,27.361122195309279,36.90589253675081,12.20000000000001,12.20000000000001 
 01/21  24:00:00,-6.300000000000007,16.027411364568154,0.0,0.5112640000000002,0.0745563828270453,0.43670761717295478,30.0789072593838,28.152003798759343,36.90455733501354,12.20000000000001,12.20000000000001 
 07/21  01:00:00,26.32025,21.745567444947093,13059.846219895893,2.3997551999999997,0.9857102741431018,1.4140449258568982,8.876980466212054,10.175027817477302,28.175190917100417,6.88344961403727,8.235168778273002 
 07/21  02:00:00,25.84683333333334,21.649492400142859,12730.099860722115,2.3997551999999997,1.0200565146700056,1.3796986853299947,8.957590572666963,10.222897794259789,27.993888981699717,7.119586882741276,8.438567362017493 
 07/21  03:00:00,25.515125,21.57258009918978,12463.717385993881,2.3997551999999997,1.0423184380095625,1.3574367619904376,9.021860878109314,10.26071764095108,28.031945592366175,7.284739011941207,8.5772701844385 
 07/21  04:00:00,25.230124999999995,21.504175486584736,12236.944574381347,2.3997551999999997,1.0622491779557258,1.3375060220442746,9.078929143517572,10.295268540966215,27.810424216366717,7.425962837837838,8.695977667824434 
 07/21  05:00:00,24.993416666666673,21.441146864772489,12032.436314929591,2.3997551999999997,1.0774116321429733,1.3223435678570266,9.131557965772112,10.327590487761479,27.776274402276035,7.5440276756048709,8.793736573522116 
 07/21  06:00:00,24.996583333333335,21.395326922846427,11938.34187351291,2.3997551999999997,1.0588845404245764,1.3408706595754235,9.170324839710132,10.357019697924521,27.864861590543887,7.545573915632699,8.785945844724099 
 07/21  07:00:00,25.42804166666666,21.73320235915032,13573.491461355736,2.3997551999999997,1.1576929644068388,1.2420622355931615,8.894924353551192,10.24403135292357,30.035024402111568,7.335703317964299,8.738482451898582 
 07/21  08:00:00,26.575958333333334,21.95863029029582,15151.241657768818,2.3997551999999997,1.1108648438463054,1.2888903561536947,8.705081759587666,10.210909694432337,30.035024402111568,6.840959799294428,8.400456466469477 
 07/21  09:00:00,28.287541666666664,22.26973096932592,17546.005955884906,2.3997551999999997,1.2359968076095738,1.1637583923904263,8.446390775742828,10.190075197336533,30.035024402111568,6.699999999999995,8.497348518529906 
 07/21  10:00:00,29.995958333333328,22.627680205368198,20286.6641867993,2.3997551999999997,1.4330693548786864,0.966685845121314,8.149589694471177,10.165433501450592,30.035024402111568,6.699999999999993,8.769502586632689 
 07/21  11:00:00,31.514374999999995,23.14210831228272,24551.24515379018,2.3997551999999997,1.7283227823896755,0.6714324176103244,7.72258014460592,10.161837692551016,30.035024402111568,6.699999999999993,9.19290867947719 
 07/21  12:00:00,32.697916666666667,23.65286574683938,28267.399462197813,2.3997551999999997,2.0182261108771297,0.38152908912286989,7.295434316563989,10.103508627796126,30.035024402111568,6.699999999999993,9.56171779426317 
 07/21  13:00:00,33.55133333333333,24.002491583717146,30269.715504738815,2.3997551999999997,2.202829833878558,0.19692536612144125,7.027363740244339,10.034081389043184,30.035024402111568,6.699999999999993,9.76035633282647 
 07/21  14:00:00,34.16645833333333,24.158709344133017,30636.016390287383,2.3997551999999997,2.222909401814453,0.1768457981855466,7.0,10.04307517944405,30.035024402111568,6.699999999999993,9.796713373651987 
 07/21  15:00:00,34.40000000000004,24.07119286369269,30018.74359538027,2.3997551999999997,2.2164080190745767,0.18334718092542305,7.004622214232072,9.986388164028453,30.035024402111568,6.699999999999993,9.735404226737858 
 07/21  16:00:00,34.110250000000018,23.746796146636929,27280.487811956962,2.3997551999999997,2.0621112408079758,0.3376439591920244,7.2059096729321949,9.915863601036957,30.035024402111568,6.699999999999993,9.46359580838212 
 07/21  17:00:00,33.44366666666667,23.416110607282417,23905.649651462012,2.3997551999999997,1.845208186200384,0.5545470137996157,7.482739908024816,9.857668423680119,30.035024402111568,6.699999999999993,9.128575352254107 
 07/21  18:00:00,32.58708333333333,23.167645084380245,21377.63446719365,2.3997551999999997,1.678031904956696,0.7217232950433037,7.6902402499940119,9.814168576656416,30.035024402111568,6.699999999999993,8.877578878971047 
 07/21  19:00:00,31.395624999999997,22.907502571152717,19318.41254068527,2.3997551999999997,1.5147241802156518,0.8850310197843482,7.906663926780166,9.826140965444278,30.035024402111568,6.699999999999993,8.673131466983096 
 07/21  20:00:00,30.16379166666667,22.693214048858179,17265.2933768859,2.3997551999999997,1.368499714446424,1.0312554855535763,8.086450741546786,9.802033294260257,30.035024402111568,6.699999999999993,8.469240201340979 
 07/21  21:00:00,29.215374999999999,22.523411033297124,15691.99770118575,2.3997551999999997,1.2535401851781057,1.1462150148218944,8.228655302437831,9.787980356520358,30.035024402111568,6.699999999999993,8.312985250065646 
 07/21  22:00:00,28.360375,22.409551056943504,15030.664120603284,2.3997551999999997,1.1910904386550932,1.2086647613449069,8.323929593266959,9.817585085567778,30.035024402111568,6.699999999999993,8.247317395126299 
 07/21  23:00:00,27.60195833333334,22.04810948457733,13655.884019568302,2.3997551999999997,1.0334205768561656,1.3663346231438345,8.62092839882778,9.978100906546017,30.035024402111568,6.699999999999993,8.110839732062435 
 07/21  24:00:00,26.936958333333334,21.891257933095937,13524.116629601285,2.3997551999999997,0.987490193289107,1.412265006710893,8.755635924934115,10.09977370011011,28.985315129056965,6.7027041521533159,8.100511565590548 
 07/01  01:00:00,21.118333333333337,19.468012203881984,9224.538708968581,2.3997551999999997,1.7028721850232434,0.6968830149767569,10.002922915800453,10.920115242925089,11.981270960830225,9.483682634680852,10.454566909393448 
 07/01  02:00:00,22.098333333333334,19.44397216183408,9414.572700075887,2.3997551999999997,1.2136811672372015,1.186074032762798,10.0,10.936086562917613,11.981270960830225,8.978645698011276,9.968424208516849 
