Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 1 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change State 3 [](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 10 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 15 [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  01:00:00,-6.300000000000007,20.51999999999999,0.0,20.513950157758044,20.36745811653959,19.722906041745817,16.01179760928051,0.0,0.13440835600000004,0.021951281672373519,0.11245707432762647,30.07823952205666,27.53981720824468,40.804980869886467,12.928730742575672,12.928730742575672 
 01/21  02:00:00,-6.300000000000007,20.51999999999999,0.0,20.51398002118261,20.366756573917148,19.720394717203435,16.011216363367024,0.0,0.1612900272,0.026354498108305464,0.13493552909169455,30.081370679222567,27.033686406826019,40.80429359753173,12.928730742575672,12.928730742575672 
 01/21  03:00:00,-6.300000000000007,20.51999999999999,0.0,20.51398537789531,20.366591263914054,19.719337993860067,16.01014108109535,0.0,0.15232947013333335,0.024926110700224208,0.12740335943310916,30.078042280020179,27.195001415801884,40.80367110066474,12.928730742575672,12.928730742575672 
 01/21  04:00:00,-6.300000000000007,20.51999999999999,0.0,20.513982044922899,20.36598390651644,19.715092854074464,16.011731425829895,0.0,0.1433689130666667,0.02343596162758268,0.11993295143908399,30.086665563094646,27.376648145173748,40.803105823294448,12.928730742575672,12.928730742575672 
 01/21  05:00:00,-6.300000000000007,20.51999999999999,0.0,20.51396865027429,20.365563451377633,19.713494188826404,16.009765127113448,0.0,0.1612900272,0.026386031700711189,0.1349039954992888,30.083593854831958,27.031937212094094,40.80259147129792,12.928730742575672,12.928730742575672 
 01/21  06:00:00,-6.300000000000007,20.51999999999999,0.0,20.51395449601272,20.365176816637079,19.711832595591877,16.011929450715706,0.0,0.13440835600000004,0.021989535541081984,0.112418820458918,30.086353297299593,27.543161286546483,40.802122627399047,12.928730742575672,12.928730742575672 
 01/21  07:00:00,-6.300000000000007,20.51999999999999,0.0,20.51391079420186,20.34540118751305,19.45506813310508,16.047146424481484,0.0,0.017921114133333337,0.003044077660311693,0.01487703647302164,30.059045967513297,29.703806942862138,40.813527733184859,12.928730742575672,12.928730742575672 
 01/21  08:00:00,-6.300000000000007,20.51999999999999,0.0,20.513208177243656,20.287920478402979,19.235922339532018,16.025168701885474,0.0,0.07168445653333335,0.012112634271520586,0.05957182226181276,30.032575646912645,28.62131021955998,40.82154569979519,12.928730742575672,12.928730742575672 
 01/21  09:00:00,-6.300000000000007,20.51999999999999,0.0,20.51201289955088,20.27797402612508,19.23821283414741,16.023433158037798,0.0,0.07168445653333335,0.012111834814918279,0.05957262171841506,30.03682057844537,28.625769405618394,40.82370871292209,12.928730742575672,12.928730742575672 
 01/21  10:00:00,-6.300000000000007,20.51999999999999,0.0,20.511255180097945,20.27712409580955,19.245721193592485,16.024406497262097,0.0,0.07168445653333335,0.01209039343384217,0.059594063099491178,30.02505224927551,28.616632572467425,40.82495951067003,12.928730742575672,12.928730742575672 
 01/21  11:00:00,-6.300000000000007,20.51999999999999,0.0,20.510864779854836,20.277220122001009,19.249845149643745,16.02349483041819,0.0,0.07168445653333335,0.012097696774858886,0.05958675975847445,30.032561888084787,28.623357760451673,40.82588426843151,12.928730742575672,12.928730742575672 
 01/21  12:00:00,-6.300000000000007,20.51999999999999,0.0,20.510671083081048,20.27718559476501,19.251492653899246,16.022003715132528,0.0,0.07168445653333335,0.0121136563467657,0.059570800186567639,30.047388562358028,28.636366492240318,40.826656463164699,12.928730742575672,12.928730742575672 
 01/21  13:00:00,-6.300000000000007,20.51999999999999,0.0,20.51057387844092,20.2771411538071,19.252275266765634,16.0204638144003,0.0,0.07168445653333335,0.01213087296480639,0.05955358356852695,30.063175320656645,28.65017818608704,40.827332421067179,12.928730742575672,12.928730742575672 
 01/21  14:00:00,-6.300000000000007,20.51999999999999,0.0,20.510526207757335,20.277650881415025,19.258476881057186,16.02263785877831,0.0,0.07168445653333335,0.012089487813151829,0.05959496872018151,30.037711992180033,28.62967766196812,40.82793387714506,12.928730742575672,12.928730742575672 
 01/21  15:00:00,-6.300000000000007,20.51999999999999,0.0,20.510515802117888,20.278497442285489,19.261793286321735,16.02153587297381,0.0,0.07168445653333335,0.01210155394106124,0.05958290259227209,30.04334750971632,28.633926234623343,40.82847203109012,12.928730742575672,12.928730742575672 
