Date/Time,PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electricity Rate [W](Hourly),BOILER_RADSYS:Boiler Electricity Rate [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electricity Rate [W](Hourly) 
 01/20  01:00:00,21.376330058212476,7965.876438246143,100.0,9838.389283723913,78.11520512820514 
 01/20  02:00:00,21.043133101127319,9515.175002057531,100.0,11714.84752245507,78.11520512820514 
 01/20  03:00:00,21.031999503507497,9521.124775401404,100.0,11758.08343622393,78.11520512820514 
 01/20  04:00:00,21.0630766098146,9244.273587826776,100.0,11355.50828617386,78.11520512820514 
 01/20  05:00:00,21.030063270884669,9392.718795888475,100.0,11557.233344552744,78.11520512820514 
 01/20  06:00:00,21.113852522067899,8935.991349442937,100.0,11009.312111188545,78.11520512820514 
 01/20  07:00:00,21.18479224209431,8600.45147591133,100.0,10566.831192354784,78.11520512820514 
 01/20  08:00:00,21.227917430063746,8394.904178078586,100.0,10299.314256856545,78.11520512820514 
 01/20  09:00:00,21.37612829394498,7746.622164919363,100.0,9507.73154235542,78.11520512820514 
 01/20  10:00:00,21.605480149511345,6744.514662617528,100.0,8241.397562495054,78.11520512820514 
 01/20  11:00:00,21.81478654267445,5932.326242440584,100.0,7319.88020889538,78.11520512820514 
 01/20  12:00:00,21.99466350257789,4283.564974957148,80.0,5186.267898412675,62.492164102564107 
 01/20  13:00:00,21.986435774671855,4332.371110524461,75.0,5277.007600063191,58.58640384615385 
 01/20  14:00:00,21.98811224186422,5413.494262542464,95.0,6625.955630118554,74.20944487179489 
 01/20  15:00:00,21.955146379817074,5798.260316237029,100.0,7041.508518646445,78.11520512820514 
 01/20  16:00:00,21.88663995393937,6080.226554519793,100.0,7416.487307638429,78.11520512820514 
 01/20  17:00:00,21.746942409732836,6683.463144064552,100.0,8134.198084493149,78.11520512820514 
 01/20  18:00:00,21.580908700512525,7387.933351806569,100.0,9080.010013096242,78.11520512820514 
 01/20  19:00:00,21.37257305050818,8238.72612030976,100.0,10136.831700073168,78.11520512820514 
 01/20  20:00:00,21.231859595058258,8788.534821931744,100.0,10813.058843996332,78.11520512820514 
 01/20  21:00:00,21.242652369848249,8655.345350623864,100.0,10662.626447208364,78.11520512820514 
 01/20  22:00:00,21.384274295085218,7951.185084127419,100.0,9786.508158590232,78.11520512820514 
 01/20  23:00:00,21.426694685262416,7722.5844447350759,100.0,9506.8806625746,78.11520512820514 
 01/20  24:00:00,21.459272267893934,7641.2602962752139,100.0,9399.636433512896,78.11520512820514 
 01/21  01:00:00,21.539292827653207,7281.488842182711,100.0,8923.280660413244,78.11520512820514 
 01/21  02:00:00,21.457900851833409,7705.746472694185,100.0,9461.501100011714,78.11520512820514 
 01/21  03:00:00,21.461781314379555,7686.197398331418,100.0,9498.892462297283,78.11520512820514 
 01/21  04:00:00,21.484161027159606,7590.116806702055,100.0,9292.27837420669,78.11520512820514 
 01/21  05:00:00,21.509832841157139,7482.064573859416,100.0,9184.854748154987,78.11520512820514 
 01/21  06:00:00,21.553947629283046,7310.352736888813,100.0,8948.667416057018,78.11520512820514 
 01/21  07:00:00,21.866228025849418,5997.711101774583,100.0,7291.837923504858,78.11520512820514 
 01/21  08:00:00,19.598051583792985,16441.88873933259,100.0,19803.180078620553,78.11520512820514 
