Program Version:,EnergyPlus, Version 9.3.0-baff08990c, YMD=2021.06.28 21:25
Tabular Output Report in Format: ,Comma

Building:,Medium Office
Environment:,RUNPERIOD 1 ** Chicago Ohare Intl Ap IL USA TMY3 WMO#=725300

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        48.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,18.68,3.75,3.75
,Net Site Energy,18.68,3.75,3.75
,Total Source Energy,32.60,6.54,6.54
,Net Source Energy,32.60,6.54,6.54


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,4982.19
,Net Conditioned Building Area,4982.19
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,12.58,0.00,0.00
,Interior Lighting,1.28,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.18,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,3.40,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.08,0.00,0.00,0.00,0.00,0.00
,Pumps,1.15,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,6.10,0.00,0.00,12.58,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,0.00,0.00,0.00,12.58,0.00,0.00
,Interior Lighting,General Lights,1.28,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.18,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,3.40,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,0.08,0.00,0.00,0.00,0.00,0.00
,Pumps,General,1.15,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Additional Fuel Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,0.29,0.00,0.00,0.00,0.00,0.00
,HVAC,0.25,0.00,0.00,2.53,0.00,0.00
,Other,0.68,0.00,0.00,0.00,0.00,0.00
,Total,1.22,0.00,0.00,2.53,0.00,0.00


Utility Use Per Total Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Additional Fuel Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,0.29,0.00,0.00,0.00,0.00,0.00
,HVAC,0.25,0.00,0.00,2.53,0.00,0.00
,Other,0.68,0.00,0.00,0.00,0.00,0.00
,Total,1.22,0.00,0.00,2.53,0.00,0.00


Electric Loads Satisfied

,,Electricity [GJ],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,6.098,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,6.098,100.00
,,,
,Total On-Site and Utility Electric Sources,6.098,100.00
,Total Electricity End Uses,6.098,100.00


On-Site Thermal Sources

,,Heat [GJ],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
