Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/05  03:00:00,21.157561310272784,21.370052046623824,21.101758228242873,21.174370433038488,21.409009139806814,100.0,100.0,100.0,100.0,100.0,7246.372988862681,5380743.578620627 
 07/05  04:00:00,21.057673264067796,21.293807845944256,21.026755472253364,21.07427433147063,21.332189299456407,95.0,100.0,90.0,100.0,100.0,7219.18709354913,5380743.578620627 
 07/05  05:00:00,20.933031780817779,21.19218925214086,20.95373703555496,20.946858154371918,21.23159863328533,0.0,100.0,0.0,5.0,100.0,5762.557901323462,5380743.578620627 
 07/05  06:00:00,20.874258126385575,21.09462503919568,20.902408219710844,20.88586911155079,21.1345767847647,0.0,100.0,0.0,0.0,100.0,5337.966901875524,5380743.578620627 
 07/05  07:00:00,20.92183044391348,21.05930959246103,20.904654864405385,20.95865494155082,21.103299104094356,5.0,100.0,0.0,20.0,100.0,5541.145660381492,5380743.578620627 
 07/05  08:00:00,20.250605051986246,20.190061157850928,20.149531254234814,20.308669589641889,20.230016799863173,2.5,5.0,0.0,2.5,5.0,7702.192837840373,5380743.578620627 
 07/05  09:00:00,20.861691895733658,20.705376529330626,20.125824766689424,20.92077386925653,20.75136090035124,35.0,0.0,0.0,45.0,10.0,8498.827938784218,5380743.578620627 
 07/05  10:00:00,21.456553949995567,21.240271913992964,20.375425357046507,21.47079185793363,21.249820572560674,100.0,100.0,0.0,100.0,100.0,13722.844962986896,5380743.578620627 
 07/05  11:00:00,21.865731073708479,21.593670171207426,20.661706179886335,21.813040398834695,21.533913911833879,100.0,100.0,0.0,100.0,100.0,15167.987448257545,5380743.578620627 
 07/05  12:00:00,22.218030580887996,21.9007819360098,20.92547784437422,22.102640066959489,21.77405697317746,100.0,100.0,15.0,100.0,100.0,16565.713435135007,5380743.578620627 
 07/05  13:00:00,22.514751846418954,22.14947437855782,21.139836067333243,22.34594432399076,21.960159967796736,100.0,100.0,100.0,100.0,100.0,18665.579811783777,5380743.578620627 
 07/05  14:00:00,22.752737470912757,22.334128209402445,21.27863100959171,22.553167001366416,22.104684694467435,100.0,100.0,100.0,100.0,100.0,19747.187194102295,5380743.578620627 
 07/05  15:00:00,22.946077917026547,22.374815048991473,21.328995437111737,22.749411725372846,22.1352586027704,100.0,100.0,100.0,100.0,100.0,19707.156076725354,5380743.578620627 
 07/05  16:00:00,23.13506481541699,22.2922487290987,21.32293717973439,22.9811841046909,22.08693183100798,100.0,100.0,100.0,100.0,100.0,19714.47627253386,5380743.578620627 
 07/05  17:00:00,23.21264859705243,22.152848307359457,21.296912526514228,23.114258841475427,22.00466495540545,100.0,100.0,100.0,100.0,100.0,19527.8678627567,5380743.578620627 
 07/05  18:00:00,22.910141839532434,21.72216577587352,21.149951052288257,22.840565813149433,21.609878655500393,100.0,100.0,100.0,100.0,100.0,17592.470215745285,5380743.578620627 
 07/05  19:00:00,22.463237888964039,21.41670040334191,20.949495173391424,22.440886489585098,21.362800223613755,100.0,100.0,30.0,100.0,100.0,15322.412253799814,5380743.578620627 
 07/05  20:00:00,21.89859245224139,21.20463909296725,20.711439203419756,21.922471505715924,21.19295370119194,100.0,100.0,0.0,100.0,100.0,13737.304883270981,5380743.578620627 
 07/05  21:00:00,21.32805528371285,20.911297590460018,20.438708197394324,21.342711555633167,20.900574586089687,100.0,20.0,0.0,100.0,20.0,9890.58726816073,5380743.578620627 
 07/05  22:00:00,21.754183609522646,21.531849088170284,21.1110050623718,21.773108680690905,21.525159288083697,100.0,95.0,70.0,100.0,95.0,7717.667767879798,5380743.578620627 
 07/05  23:00:00,21.78392636568099,21.733481113686609,21.349777959043729,21.803767375968407,21.730261803753913,100.0,100.0,100.0,100.0,100.0,8024.263463220382,5380743.578620627 
 07/05  24:00:00,21.565682770862915,21.616372464933329,21.29864267347256,21.587663369406579,21.621581079990638,100.0,100.0,100.0,100.0,100.0,7457.843216198218,5380743.578620627 
 07/06  01:00:00,21.300805525538047,21.445391745267789,21.18792053383404,21.326065033329468,21.457530071822917,100.0,100.0,100.0,100.0,100.0,7347.914626219803,5380743.578620627 
 07/06  02:00:00,21.153939962076178,21.336169624103698,21.077842208055718,21.177194216025336,21.35085206593824,100.0,100.0,100.0,100.0,100.0,7327.926474900832,5380743.578620627 
 07/06  03:00:00,21.0306335087427,21.239421453232873,20.981098824761017,21.05261127911483,21.256522807084435,85.0,100.0,35.0,100.0,100.0,7019.73842463403,5380743.578620627 
 07/06  04:00:00,20.960833960049738,21.165252325952378,20.925744478851298,20.97384422607736,21.184368007469716,0.0,100.0,0.0,10.0,100.0,5679.336222211543,5380743.578620627 
 07/06  05:00:00,20.933829286422055,21.096975858669447,20.89959398741497,20.94063701030195,21.119222771553298,0.0,100.0,0.0,0.0,100.0,5192.624896537289,5380743.578620627 
 07/06  06:00:00,20.91155336533383,21.024626200406396,20.87575703863907,20.917868756182885,21.04852128049878,0.0,90.0,0.0,0.0,100.0,4805.955962115737,5380743.578620627 
 07/06  07:00:00,20.980842248864464,21.017637487390478,20.89080478599714,21.0059060736865,21.03234257611532,30.0,50.0,0.0,45.0,100.0,4815.959453049289,5380743.578620627 
 07/06  08:00:00,20.24587576439753,20.131660107786489,20.10647792406963,20.288280552689188,20.128734242768965,5.0,5.0,0.0,5.0,5.0,8116.355450793116,5380743.578620627 
 07/06  09:00:00,20.394584820390067,20.097147586246984,19.996414186861338,20.434789411166926,20.089794467609985,0.0,0.0,0.0,0.0,0.0,8051.146277857474,5380743.578620627 
 07/06  10:00:00,20.939995185171079,20.474304485341567,20.15268735380365,20.932179828339057,20.412598413899639,35.0,0.0,0.0,30.0,0.0,8736.882315055238,5380743.578620627 
