Date/Time,PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly) 
 01/21  01:00:00,16.010609115123445,0.0 
 01/21  02:00:00,16.01273822320849,0.0 
 01/21  03:00:00,16.009754289396605,0.0 
 01/21  04:00:00,16.012345712258907,0.0 
 01/21  05:00:00,16.010653707673993,0.0 
 01/21  06:00:00,16.010425968216894,0.0 
 01/21  07:00:00,16.073699118345567,0.0 
 01/21  08:00:00,16.028001835787124,0.0 
 01/21  09:00:00,16.02311659245585,0.0 
 01/21  10:00:00,16.022960354199978,0.0 
 01/21  11:00:00,16.0212300000227,0.0 
 01/21  12:00:00,16.02219149250126,0.0 
 01/21  13:00:00,16.02128655571646,0.0 
 01/21  14:00:00,16.021937386698668,0.0 
 01/21  15:00:00,16.02298533338868,0.0 
 01/21  16:00:00,16.023022653318649,0.0 
 01/21  17:00:00,16.02215085413572,0.0 
 01/21  18:00:00,16.021691027472888,0.0 
 01/21  19:00:00,16.000237940764867,0.0 
 01/21  20:00:00,16.013380470832599,0.0 
 01/21  21:00:00,16.01318963163228,0.0 
 01/21  22:00:00,16.012820823247055,0.0 
 01/21  23:00:00,16.010536285360084,0.0 
 01/21  24:00:00,16.010203303875249,0.0 
 07/21  01:00:00,20.810748572728778,10799.436506820239 
 07/21  02:00:00,20.533626360173995,9690.376329263727 
 07/21  03:00:00,20.223843611776375,11895.268972737458 
 07/21  04:00:00,20.17919133051797,5574.99037097697 
 07/21  05:00:00,20.3213401165191,7090.04764278811 
 07/21  06:00:00,20.070010089685689,13397.278372121555 
 07/21  07:00:00,20.152399487419819,10807.926891381825 
 07/21  08:00:00,20.24250359429924,12074.030963084322 
 07/21  09:00:00,21.01990667214841,0.0 
 07/21  10:00:00,21.787412087114224,13629.001320985648 
 07/21  11:00:00,22.211833684042018,13452.849014642152 
 07/21  12:00:00,22.820566462448686,13478.498482738492 
 07/21  13:00:00,23.393891532857468,13493.421031203192 
 07/21  14:00:00,23.792846327994139,13497.772908720928 
 07/21  15:00:00,23.92916138881394,13493.565387845065 
 07/21  16:00:00,23.759954249964776,13484.289413299575 
 07/21  17:00:00,23.36549192722886,13475.176200630893 
 07/21  18:00:00,22.883806809960015,13467.576524925304 
 07/21  19:00:00,22.581360726703154,8299.777139015288 
 07/21  20:00:00,22.843591219746349,0.0 
 07/21  21:00:00,22.893787571765544,13775.198739383435 
 07/21  22:00:00,22.51653918720111,9811.616873174002 
 07/21  23:00:00,21.77410262089057,12534.99044476543 
 07/21  24:00:00,21.22061641070699,11132.83537495006 
 07/21  01:00:00,19.05385527599386,9224.078641420234 
 07/21  02:00:00,18.676764534249526,8121.277781542978 
 07/21  03:00:00,18.285263947896348,10239.122344877691 
 07/21  04:00:00,18.147855792741454,3940.321802108693 
 07/21  05:00:00,18.21858535226126,5403.658136980465 
 07/21  06:00:00,18.05165323572052,8880.864352465082 
 07/21  07:00:00,18.36747002275001,9980.664316227661 
 07/21  08:00:00,20.234792714636759,10629.582996859011 
 07/21  09:00:00,20.543314265682424,0.0 
 07/21  10:00:00,21.33050977569655,13549.59964119648 
 07/21  11:00:00,21.79682755022579,13448.726146063007 
 07/21  12:00:00,22.39808652770436,13474.998197183817 
 07/21  13:00:00,24.969742696358496,13085.084423830484 
 07/21  14:00:00,23.799397572454124,13549.414760158657 
 07/21  15:00:00,23.65702270891915,13489.415384438928 
 07/21  16:00:00,23.509800273563056,13005.779537566876 
 07/21  17:00:00,23.24458140411101,13556.372306221921 
 07/21  18:00:00,25.06504852473364,13483.188068454423 
 07/21  19:00:00,22.51130199732118,7967.9172618427 
 07/21  20:00:00,21.453745264933067,0.0 
 07/21  21:00:00,20.94056473930156,12211.695987718811 
 07/21  22:00:00,20.34803188005531,7827.479111344132 
 07/21  23:00:00,19.989969835733065,10681.910309219189 
 07/21  24:00:00,19.52824595553201,9460.014696096508 
 07/22  01:00:00,19.18065894799005,7089.733136271083 
 07/22  02:00:00,18.992987908372748,6899.5764408742129 
 07/22  03:00:00,18.849138263418234,6714.712577643744 
 07/22  04:00:00,18.67051529303709,6446.647118853489 
 07/22  05:00:00,18.518435374771319,6217.454514826171 
 07/22  06:00:00,18.41376306760795,6065.622824819079 
 07/22  07:00:00,18.78055674076801,6656.240734877045 
 07/22  08:00:00,20.56297792050028,9331.396005713636 
 07/22  09:00:00,20.585352323928747,9062.76651168412 
 07/22  10:00:00,21.13761653300505,9986.85780586836 
 07/22  11:00:00,22.004238172606887,11442.962587894037 
 07/22  12:00:00,22.766580571026979,12699.809589628501 
 07/22  13:00:00,25.29391181854206,13568.13616936489 
 07/22  14:00:00,23.615573841649085,13473.565109156594 
 07/22  15:00:00,23.13594696231897,13351.984660486592 
 07/22  16:00:00,23.00641531365982,13024.326235872437 
 07/22  17:00:00,22.721768685343123,12451.332611231282 
 07/22  18:00:00,22.811574475366624,12377.586616899123 
 07/22  19:00:00,20.587822558878636,8682.698707493073 
 07/22  20:00:00,19.619229285038938,7473.124116911315 
 07/22  21:00:00,19.15923555127362,6993.3005907619149 
 07/22  22:00:00,18.92021356853329,6756.812789967406 
 07/22  23:00:00,18.788791858472899,6622.010196973556 
 07/22  24:00:00,18.677811608690786,6469.456420833457 
