Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 1 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change State 3 [](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 3 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 10 [C](Hourly),PERIMETER_BOT_ZN_1_FLOOR:CondFD Phase Change Node Temperature 15 [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 07/01  01:00:00,17.098333333333334,23.450000000000029,0.0,23.429214870849529,22.93394186661966,20.77633861704732,21.049231134749645,0.0,0.0,0.0,0.0,12.372563980545279,12.372563980545279,11.9773934159324,12.294618717320678,12.294618717320678 
 07/01  02:00:00,16.8475,23.450000000000029,0.0,23.429512410827337,22.939084646125573,20.800583975770218,21.001767476956269,0.0,0.0,0.0,0.0,12.372563980545279,12.372563980545279,11.9773934159324,12.294618717320678,12.294618717320678 
 07/01  03:00:00,16.5475,23.450000000000029,0.0,23.42964690505625,22.87288110803776,19.903963156148515,20.554916702974905,13499.171702774032,0.5467642243600003,0.5467642243600003,0.0,13.098128135046699,18.994359582909686,11.9773934159324,13.025507536793328,18.994359582909686 
 07/01  04:00:00,16.2475,23.450000000000029,0.0,23.427305248863794,22.639859384676496,18.76405304054992,19.94591694673779,13341.290842669589,0.5467642243600003,0.5467642243600003,0.0,12.091530543854278,17.917126647517429,11.9773934159324,12.0285821469993,17.917126647517429 
 07/01  05:00:00,16.100000000000017,23.450000000000029,0.0,23.422202866820237,22.520260657721079,18.33393002660216,19.611414379773416,12389.060919356274,0.5467642243600003,0.5467642243600003,0.0,11.999385817014108,17.409037894022768,11.9773934159324,11.95222822168254,17.409037894022768 
 07/01  06:00:00,16.100000000000017,23.450000000000029,0.0,23.417555155106709,22.452577537079244,18.0470264609214,19.459552620844776,11574.10344910029,0.5467642243600003,0.5467642243600003,0.0,11.999410044034905,17.05321304156398,11.9773934159324,11.952252252252262,17.05321304156398 
 07/01  07:00:00,16.100000000000017,23.450000000000029,0.0,23.413960014827436,22.40776462794905,18.005291717985679,19.84413470124889,0.0,0.0,0.0,0.0,11.999410044034905,11.999410044034905,11.9773934159324,11.952252252252262,11.952252252252262 
 07/01  08:00:00,16.405,23.450000000000029,0.0,23.41182030873084,22.48106317841222,18.65481012607891,20.462420415638044,0.0,0.0,0.0,0.0,11.999410044034905,11.999410044034905,11.9773934159324,11.952252252252262,11.952252252252262 
 07/01  09:00:00,16.954166666666663,23.450000000000029,0.0,23.412418535906168,22.590413409261556,19.237139718284948,21.09105425407794,0.0,0.0,0.0,0.0,11.999410044034905,11.999410044034905,13.112457169852405,11.952252252252262,11.952252252252262 
 07/01  10:00:00,17.505,23.450000000000029,0.0,23.414789513809209,22.684322165653886,19.6964829330817,21.738985288864414,0.0,0.0,0.0,0.0,11.999410044034905,11.999410044034905,14.123422744958669,11.952252252252262,11.952252252252262 
 07/01  11:00:00,18.054166666666668,23.450000000000029,0.0,23.41773093723707,22.758887706346419,20.04316867239197,22.37897659809694,0.0,0.0,0.0,0.0,11.999410044034905,11.999410044034905,14.26218304181088,11.952252252252262,11.952252252252262 
 07/01  12:00:00,18.29999999999998,23.450000000000029,0.0,23.420510034062525,22.765641583022533,19.62292159472003,22.420713359751475,13568.888083007,0.5467642243600003,0.5467642243600003,0.0,12.981653817272905,18.908130521541879,14.646875147865929,12.907814028887993,18.908130521541879 
 07/01  13:00:00,18.605000000000005,23.450000000000029,0.0,23.421122242754508,22.648071044189515,19.260199810661555,22.630185469229909,0.0,0.0,0.0,0.0,12.492047677139312,12.492047677139312,14.19516321726388,12.413255799497657,12.413255799497657 
 07/01  14:00:00,18.34083333333333,23.450000000000029,0.0,23.42011457070613,22.67948266147996,19.308590571107357,22.618592488287498,13486.41631112557,0.5467642243600003,0.5467642243600003,0.0,12.796042901502899,18.68619596884974,14.428570345377738,12.722264250636285,18.68619596884974 
 07/01  15:00:00,17.79999999999998,23.450000000000029,0.0,23.41952861477412,22.616643032805187,19.15563898940685,22.54852740536173,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,13.677224250892858,12.294499045887469,12.294499045887469 
 07/01  16:00:00,16.935833333333336,23.450000000000029,0.0,23.418826591527659,22.70437120229202,19.809653531499177,22.42779548343327,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,12.420443249592502,12.294499045887469,12.294499045887469 
 07/01  17:00:00,15.845833333333332,23.450000000000029,0.0,23.420186704359023,22.785443567740495,20.15236836730327,22.090002641149753,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/01  18:00:00,15.854166666666666,23.450000000000029,0.0,23.422285985181028,22.832945444930805,20.34944934882586,21.8651760055454,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/01  19:00:00,16.100000000000017,23.450000000000029,0.0,23.424192162880638,22.86410215986514,20.479607909908219,21.608198606922156,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/01  20:00:00,16.100000000000017,23.450000000000029,0.0,23.42571268708226,22.885874610443865,20.569691375956798,21.350567475795328,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/01  21:00:00,16.100000000000017,23.450000000000029,0.0,23.42686954972946,22.901294278513335,20.63306218006733,21.166794370826094,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/01  22:00:00,16.659166666666669,23.450000000000029,0.0,23.42772957613202,22.91245378922221,20.67970895875019,21.09475926800485,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
 07/01  23:00:00,17.20000000000002,23.450000000000029,0.0,23.42836420262398,22.920969660032836,20.716805348076759,21.08094924686186,0.0,0.0,0.0,0.0,12.372443361374284,12.372443361374284,11.968092409460722,12.294499045887469,12.294499045887469 
