Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  01:00:00,-6.300000000000007,17.964595403689655,0.0,0.4578313158078728,0.16587718543716999,0.29195413037070247,35.176805799739067,26.923115877170987,36.16592635820932,12.300492243372443,12.300492243372443 
 01/21  02:00:00,-6.300000000000007,17.96200965884252,0.0,0.4578313158078728,0.1660973673283343,0.2917339484795381,35.189737875881139,26.931840669519539,36.15724867584637,12.300492243372443,12.300492243372443 
 01/21  03:00:00,-6.300000000000007,17.95946503769307,0.0,0.4578313158078728,0.1663078984568371,0.2915234173510354,35.202464540046069,26.9404848962025,36.149431274486918,12.300492243372443,12.300492243372443 
 01/21  04:00:00,-6.300000000000007,17.956965602584945,0.0,0.4578313158078728,0.16651002808922445,0.2913212877186481,35.21496569285079,26.94900122801439,36.14232663895557,12.300492243372443,12.300492243372443 
 01/21  05:00:00,-6.300000000000007,17.95451646423019,0.0,0.4578313158078728,0.1667043413603285,0.29112697444754406,35.22721577276659,26.957363471807196,36.135826721436767,12.300492243372443,12.300492243372443 
 01/21  06:00:00,-6.300000000000007,17.95212209418411,0.0,0.4578313158078728,0.16689121436993413,0.2909401014379384,35.23919234274216,26.965552662458835,36.129850346226579,12.300492243372443,12.300492243372443 
 01/21  07:00:00,-6.300000000000007,18.403395737911376,0.0,0.4578313158078728,0.13176950014509837,0.32606181566277417,33.01990143833867,26.241560389223353,36.165017174755607,12.300492243372443,12.300492243372443 
 01/21  08:00:00,-6.300000000000007,18.358729529953899,0.0,0.4578313158078728,0.1424126746889411,0.31541864111893155,33.201920072802817,25.707548338224848,36.20982249485727,12.300492243372443,12.300492243372443 
 01/21  09:00:00,-6.300000000000007,18.335631431568623,0.0,0.4578313158078728,0.14538646570532999,0.31244485010254266,33.32128843326497,25.65046356469327,36.2275433327676,12.300492243372443,12.300492243372443 
 01/21  10:00:00,-6.300000000000007,18.33390380033078,0.0,0.4578313158078728,0.14554993827294139,0.3122813775349312,33.33054621286812,25.644575259528734,36.24120028774592,12.300492243372443,12.300492243372443 
 01/21  11:00:00,-6.300000000000007,18.335309731677726,0.0,0.4578313158078728,0.14538992527468434,0.31244139053318817,33.3235917927617,25.640475114876407,36.253033833796838,12.300492243372443,12.300492243372443 
 01/21  12:00:00,-6.300000000000007,18.337033939958347,0.0,0.4578313158078728,0.14522422107340647,0.3126070947344661,33.314974446883237,25.635238256424836,36.26330483291544,12.300492243372443,12.300492243372443 
 01/21  13:00:00,-6.300000000000007,18.338751013329028,0.0,0.4578313158078728,0.14507350264769765,0.31275781316017489,33.30638694002909,25.6295753400909,36.272275806390918,12.300492243372443,12.300492243372443 
 01/21  14:00:00,-6.300000000000007,18.340441954293273,0.0,0.4578313158078728,0.14493315516390976,0.3128981606439628,33.29793007491978,25.623840358757808,36.2802051929599,12.300492243372443,12.300492243372443 
 01/21  15:00:00,-6.300000000000007,18.34210588407083,0.0,0.4578313158078728,0.14480048557048279,0.3130308302373898,33.28960803053012,25.618146176043454,36.287295285031287,12.300492243372443,12.300492243372443 
 01/21  16:00:00,-6.300000000000007,18.343738530173899,0.0,0.4578313158078728,0.1446744340497494,0.313156881758123,33.281441980282078,25.612535617261015,36.29369302702556,12.300492243372443,12.300492243372443 
 01/21  17:00:00,-6.300000000000007,18.34533479105235,0.0,0.4578313158078728,0.1445544978281941,0.31327681797967846,33.27345744876332,25.607033624312366,36.29950494077677,12.300492243372443,12.300492243372443 
 01/21  18:00:00,-6.300000000000007,18.34689022234915,0.0,0.4578313158078728,0.14444034902887777,0.3133909667789948,33.26567673373818,25.601658747352166,36.3048103828226,12.300492243372443,12.300492243372443 
 01/21  19:00:00,-6.300000000000007,17.89781811362603,0.0,0.4578313158078728,0.17880901852058077,0.2790222972872918,35.47406816916877,26.322901666048879,36.26903114825153,12.300492243372443,12.300492243372443 
 01/21  20:00:00,-6.300000000000007,17.93747155170744,0.0,0.4578313158078728,0.16908945065658116,0.2887418651512912,35.31677244162074,26.861220354420405,36.22337329033436,12.300492243372443,12.300492243372443 
 01/21  21:00:00,-6.300000000000007,17.959809366125339,0.0,0.4578313158078728,0.16600384910434566,0.29182746670352679,35.201500135963488,26.927122297858369,36.20465072806204,12.300492243372443,12.300492243372443 
 01/21  22:00:00,-6.300000000000007,17.961195252181846,0.0,0.4578313158078728,0.16584532837424258,0.29198598743362988,35.193912096477,26.936241665591248,36.19031963812651,12.300492243372443,12.300492243372443 
