Date/Time,PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  01:00:00,13.917701293264838,0.0,0.3869266529350386,0.0022347005434003,0.38469195239163869,15.0,14.55603769378283,37.06220011251485,12.200000000000009,12.200000000000009 
 01/21  02:00:00,13.909132375944689,0.0,0.3869266529350386,0.002243165730071842,0.38468348720496717,15.0,14.554557898603191,37.069935413753,12.200000000000009,12.200000000000009 
 01/21  03:00:00,13.901348239535432,0.0,0.3869266529350386,0.002250869397795457,0.38467578353724365,15.0,14.553211167525843,37.077247954022258,12.200000000000009,12.200000000000009 
 01/21  04:00:00,13.894267151320838,0.0,0.3869266529350386,0.002257891173481157,0.38466876176155775,15.0,14.551983595651456,37.084161517429588,12.200000000000009,12.200000000000009 
 01/21  05:00:00,13.887820491575065,0.0,0.3869266529350386,0.0022642970911144427,0.3846623558439246,15.0,14.550863651155434,37.09069447851368,12.200000000000009,12.200000000000009 
 01/21  06:00:00,13.881946411211198,0.0,0.3869266529350386,0.002270146006370504,0.38465650692866845,15.0,14.549841054601034,37.09686840084852,12.200000000000009,12.200000000000009 
 01/21  07:00:00,14.248954974467783,0.0,0.3869266529350386,0.002185599106576937,0.38474105382846199,15.0,14.564618747581362,35.09949483084943,12.200000000000009,12.200000000000009 
 01/21  08:00:00,14.328944456921315,0.0,0.3869266529350386,0.0021067745701165107,0.38481987836492245,15.0,14.578392418309419,35.026545941028377,12.200000000000009,12.200000000000009 
 01/21  09:00:00,14.349910679933695,0.0,0.3869266529350386,0.0020843131946585858,0.3848423397403803,15.0,14.582315983909986,35.0205925950248,12.200000000000009,12.200000000000009 
 01/21  10:00:00,14.363818040265525,0.0,0.3869266529350386,0.002070461038066413,0.38485619189697248,15.0,14.584735445846166,35.01354150080877,12.200000000000009,12.200000000000009 
 01/21  11:00:00,14.375018418895963,0.0,0.3869266529350386,0.002059598810792131,0.384867054124247,15.0,14.586632553188038,35.00697699837178,12.200000000000009,12.200000000000009 
 01/21  12:00:00,14.384762598101482,0.0,0.3869266529350386,0.0020502327994683887,0.38487642013557046,15.0,14.588268257229192,35.00092397079684,12.200000000000009,12.200000000000009 
 01/21  13:00:00,14.393455558539051,0.0,0.3869266529350386,0.0020418933287914425,0.3848847596062476,15.0,14.589724616430186,34.995343674073428,12.200000000000009,12.200000000000009 
 01/21  14:00:00,14.401283098074819,0.0,0.3869266529350386,0.0020343851149732976,0.38489226782006577,15.0,14.591035755449143,34.99015562913924,12.200000000000009,12.200000000000009 
 01/21  15:00:00,14.408340887696359,0.0,0.3869266529350386,0.0020276068422955516,0.3848990460927435,15.0,14.592219382850683,34.98536621112137,12.200000000000009,12.200000000000009 
 01/21  16:00:00,14.414716667237086,0.0,0.3869266529350386,0.0020214793945514694,0.3849051735404875,15.0,14.593289326769206,34.980917012024487,12.200000000000009,12.200000000000009 
 01/21  17:00:00,14.420472365852941,0.0,0.3869266529350386,0.002015939094245463,0.3849107138407935,15.0,14.594256716626682,34.97681610394468,12.200000000000009,12.200000000000009 
 01/21  18:00:00,14.425670830839005,0.0,0.3869266529350386,0.002010930901849397,0.38491572203318966,15.0,14.595131171324083,34.973024512593458,12.200000000000009,12.200000000000009 
 01/21  19:00:00,14.054450570677867,0.0,0.3869266529350386,0.0020953100407578417,0.38483134289428119,15.0,14.580394061109349,36.97326918253597,12.200000000000009,12.200000000000009 
 01/21  20:00:00,13.97621654060127,0.0,0.3869266529350386,0.002174987863551016,0.384751665071488,15.0,14.56647415497694,37.0493868910062,12.200000000000009,12.200000000000009 
 01/21  21:00:00,13.954714949091109,0.0,0.3869266529350386,0.0021984860766528825,0.38472816685838609,15.0,14.562367585767424,37.05728447750413,12.200000000000009,12.200000000000009 
 01/21  22:00:00,13.940211712239917,0.0,0.3869266529350386,0.0022132593021695226,0.38471339363286957,15.0,14.559785533496003,37.06639059780615,12.200000000000009,12.200000000000009 
 01/21  23:00:00,13.928413442779576,0.0,0.3869266529350386,0.0022249817806085806,0.3847016711544305,15.0,14.557736544840598,37.075015730501039,12.200000000000009,12.200000000000009 
 01/21  24:00:00,13.918088008151424,0.0,0.3869266529350386,0.002235163758862381,0.3846914891761764,15.0,14.555956720459644,37.08309620125647,12.200000000000009,12.200000000000009 
 07/21  01:00:00,23.05315569197461,3173.2371265852987,0.39349795201021117,0.09894800196819149,0.29454995004201986,12.833518003092405,14.759245678031724,15.916808568756917,6.88344961403727,8.863795172253072 
 07/21  02:00:00,22.96022150941778,3111.7772690223885,0.39349795201021117,0.10004694642080385,0.29345100558940737,12.87359968802512,14.762051213576859,16.05240883053394,7.119586882741276,9.062656918923463 
 07/21  03:00:00,22.883738991720305,3061.25955628126,0.39349795201021117,0.10061350584059085,0.29288444616962036,12.906460152731493,14.764271377724836,16.16143112285516,7.284739011941207,9.1971692618837 
 07/21  04:00:00,22.815991990651189,3018.437489552782,0.39349795201021117,0.10111459592709606,0.29238335608311508,12.935539736862469,14.767378457994689,16.083448230257877,7.425962837837838,9.312421039056293 
 07/21  05:00:00,22.754994373426773,2981.169789993954,0.39349795201021117,0.10148409900861087,0.29201385300160029,12.961779771199929,14.771014963865401,16.06152565711543,7.544027675604871,9.407882759079739 
 07/21  06:00:00,22.721446712036167,2956.009375851159,0.39349795201021117,0.10068719974427191,0.2928107522659394,12.976308198994026,14.77028131762594,15.737841808952347,7.545573915632699,9.39416715243204 
 07/21  07:00:00,23.110677875624103,3089.934701111153,0.39349795201021117,0.10326752567240545,0.29023042633780568,12.813680607814309,14.688843865218832,13.004769294448174,7.335703317964299,9.26548414815533 
 07/21  08:00:00,23.387072749045719,3246.026054067879,0.39349795201021117,0.10185540920745008,0.29164254280276105,12.69313883186357,14.662960124693305,14.460533275995632,6.840959799294429,8.865396778369638 
 07/21  09:00:00,23.758190785317696,3475.206282846576,0.39349795201021117,0.10716019597917806,0.28633775603103309,12.535610632277447,14.644411971558766,14.83582766387439,6.699999999999995,8.86341456031229 
 07/21  10:00:00,24.000001545063758,3754.7524011672446,0.39349795201021117,0.11464413229185766,0.2788538197183536,12.428571083096454,14.706935893264613,14.926959922241723,6.699999999999993,9.032976356019054 
 07/21  11:00:00,24.000064934037608,4026.2801420291195,0.39349795201021117,0.12026678254370005,0.2732311694665112,12.428544096676207,14.871670569367291,14.91429580140647,6.699999999999993,9.197738018531368 
 07/21  12:00:00,24.000129629218049,4270.131036174051,0.39349795201021117,0.12513026511949405,0.26836768689071707,12.428516244834885,15.01961018720115,14.819356835172203,6.699999999999993,9.345705487735744 
 07/21  13:00:00,24.00013364885269,4439.138208905149,0.39349795201021117,0.12840161802023637,0.2650963339899748,12.428513894759137,15.122160534615242,14.693735531598663,6.699999999999993,9.448258185200812 
 07/21  14:00:00,24.000117249146425,4514.598326477159,0.39349795201021117,0.12983662952452786,0.26366132248568327,12.428521106420068,15.167956564415066,14.61438735523309,6.699999999999993,9.494047003339709 
 07/21  15:00:00,24.00007885791764,4493.510781881296,0.39349795201021117,0.12943692439882729,0.2640610276113839,12.42853725401381,15.155176919129272,14.577431158980956,6.699999999999993,9.48125121091411 
 07/21  16:00:00,24.000008904620093,4384.6921550391139,0.39349795201021117,0.12735610044038385,0.26614185156982747,12.428567045855065,15.089176119752644,14.553262463863416,6.699999999999993,9.415220619744826 
 07/21  17:00:00,23.99995700775616,4214.050074527672,0.39349795201021117,0.1240281704729978,0.26946978153721337,12.42858973250329,14.985654067601957,14.525460381908797,6.699999999999993,9.31167588125947 
 07/21  18:00:00,23.999944454279086,4043.4462537084798,0.39349795201021117,0.12062000465861626,0.2728779473515948,12.42859508096114,14.88213788549304,14.486724705728478,6.699999999999993,9.208154350859572 
 07/21  19:00:00,23.999924929571255,3903.9232452306166,0.39349795201021117,0.11776783112248367,0.2757301208877275,12.428603414689345,14.797484360299047,14.441999665683803,6.699999999999993,9.123492491921493 
 07/21  20:00:00,23.967131232669748,3779.18712278076,0.39349795201021117,0.11497443744569148,0.2785235145645197,12.44201548517119,14.735215902316634,14.499054648642531,6.699999999999993,9.047812173438356 
 07/21  21:00:00,23.85411771078823,3640.035770445475,0.39349795201021117,0.11134207144045874,0.2821558805697524,12.490325852667989,14.699120201058595,14.67423982041279,6.699999999999993,8.96340686076689 
 07/21  22:00:00,23.751894385309254,3533.433833729325,0.39349795201021117,0.10844369816291773,0.28505425384729346,12.534194215579046,14.678328877011504,14.81886519001109,6.699999999999993,8.8987478603368 
 07/21  23:00:00,23.372357137324444,3358.368831780466,0.39349795201021117,0.10251741864494482,0.29098053336526627,12.694441743288511,14.732437960981251,15.418086414908834,6.699999999999993,8.792611924285743 
 07/21  24:00:00,23.19686013182487,3258.533336364923,0.39349795201021117,0.0993732949549055,0.29412465705530568,12.77183086064415,14.74928687347863,15.701924905938406,6.7027041521533159,8.734777082793445 
 06/01  01:00:00,19.579381806238346,1821.7645244621686,0.39349795201021117,0.39349795201021117,0.0,12.254596132437192,13.35997855537161,14.985706296546822,12.20000000000001,13.35997855537161 
 06/01  02:00:00,19.98609701251331,185.71404172718679,0.1836323776047652,0.010739404477119208,0.172892973127646,16.995893619999977,17.1087100969965,14.985706296546822,12.200000000000009,12.338330390698369 
 06/01  03:00:00,20.094423414068268,1198.0981143164916,0.39349795201021117,0.07447744433677119,0.31902050767344,15.583619920000018,16.311237025507397,14.985706296546822,12.20000000000001,12.982275016001664 
 06/01  04:00:00,20.008743905320885,887.7066392504844,0.39349795201021117,0.054609562586438589,0.33888838942377255,15.937444059999987,16.47659375293154,14.985706296546822,12.20000000000001,12.793811300965484 
 06/01  05:00:00,19.802400536771495,1947.6734403207625,0.39349795201021117,0.20719516516582457,0.1863027868443866,13.339223850000018,14.521370719349493,14.985706296546822,12.20000000000001,13.436772668540924 
 06/01  06:00:00,19.917185683533888,812.7448321980248,0.3672647552095304,0.05741847984567448,0.30984627536385586,15.366827400000009,15.860395102184658,14.985706296546822,12.20000000000001,12.74457963771599 
 06/01  07:00:00,20.196447380194149,2084.8147614752167,0.39349795201021117,0.2511887710733896,0.14230918093682155,12.988124119999988,14.253382048601284,14.985706296546822,12.20000000000001,13.519878231411078 
 06/01  08:00:00,19.788150381335414,718.9357420973714,0.3344732592086795,0.045770907902417,0.2887023513062625,15.804938890000012,16.241574314198997,14.985706296546822,12.20000000000001,12.683096613976233 
 06/01  09:00:00,20.47557262315998,1945.285837750936,0.39349795201021117,0.1649950409606167,0.22850291104959445,13.95317467999999,15.134080178392168,14.985706296546822,12.20000000000001,13.435540911241408 
 06/01  10:00:00,20.565261586067959,1927.598089456439,0.39349795201021117,0.18126016366004556,0.21223778835016564,13.68839658000001,14.858475746825821,14.985706296546822,12.20000000000001,13.42471043336957 
 06/01  11:00:00,20.603886394324769,2472.1928586640844,0.39349795201021117,0.36606498577594479,0.027432966234266486,12.370356239999988,13.87044536789433,14.985706296546822,12.20000000000001,13.75469976275534 
 06/01  12:00:00,20.979463459480788,1871.9339804097722,0.39349795201021117,0.17901163820013694,0.21448631381007425,13.66674992000002,14.803033139361279,14.985706296546822,12.20000000000001,13.390914146954215 
 06/01  13:00:00,22.166217905746579,1679.1479611085748,0.38693965281004097,0.09078883306773726,0.2961508197423038,15.458746990000007,16.478486193021334,14.985706296546822,11.90127544043137,12.974760305870566 
 06/01  14:00:00,22.542699804789547,3521.4561179769386,0.39349795201021117,0.2434758018554691,0.15002215015474203,12.378102900000009,14.51487381632321,15.620949111333305,10.988372947057519,13.179754619848007 
 06/01  15:00:00,22.326571848391099,1335.8384197948263,0.35414815680919006,0.04734768236788285,0.3068004744413072,16.869172440000026,17.680640062993523,15.296115745114417,10.717957520732595,11.578629356218054 
 06/01  16:00:00,21.958840998834707,3755.7907131462904,0.39349795201021117,0.3934979520102111,0.0,11.701327491858127,13.979734594066678,14.998938837784407,11.646744757836773,13.979734594066678 
 06/01  17:00:00,21.46291363545154,1565.7277441981779,0.3803813536098708,0.0931993768489316,0.28718197676093917,15.403518380000012,16.354367939384557,14.998938837784407,12.199999999998159,13.203683720349059 
 06/01  18:00:00,20.47096041226192,2913.691067834345,0.39349795201021117,0.3934979520102111,0.0,12.25459851175341,14.022523426855154,14.998938837784407,12.20000000000001,14.022523426855154 
 06/01  19:00:00,20.095611148686936,671.2519383192444,0.3082400624079987,0.037120064433631767,0.2711199979743669,16.41606199,16.823784970256175,14.998938837784407,12.20000000000001,12.650545158438672 
 06/01  20:00:00,19.75891334289288,2565.3352623913658,0.39349795201021117,0.3406843953236425,0.05281355668656865,12.492039989999995,14.048700800011062,14.998938837784407,12.20000000000001,13.811273349336778 
 06/01  21:00:00,19.5938415513614,475.4563180966124,0.282006865607318,0.028258678014514379,0.2537481875928036,16.333442630000016,16.622233461179698,14.998938837784407,12.20000000000001,12.52796794988044 
 06/01  22:00:00,20.11322116069129,2508.35610104864,0.39349795201021117,0.3934979520102111,0.0,12.254596726872144,13.776578688497015,14.998938837784407,12.200000000000009,13.776578688497012 
 06/01  23:00:00,19.81799581813132,1949.8582384857685,0.39349795201021117,0.39349795201021117,0.0,12.25457538281797,13.437680540938454,14.998938837784407,12.20000000000001,13.437680540938454 
 06/01  24:00:00,19.58324347653503,1863.7012183264777,0.39349795201021117,0.39349795201021117,0.0,12.254566556666646,13.385394675899457,14.998938837784407,12.20000000000001,13.385394675899457 
 06/02  01:00:00,19.49402039077859,961.3705925026897,0.3738230544097006,0.0891220117345524,0.2847010426751482,14.359931908111675,14.94360921711893,14.998938837784407,12.20000000000001,12.835587000159885 
 06/02  02:00:00,19.526554944430069,1203.1524746691528,0.39349795201021117,0.10741022506812678,0.2860877269420845,14.345785237816749,15.076253362026728,14.998938837784407,12.20000000000001,12.985109686740487 
 06/02  03:00:00,19.530421084256603,1200.3637132247839,0.39349795201021117,0.10730177250011885,0.2861961795100923,14.344176346855848,15.07295099837285,14.998938837784407,12.20000000000001,12.983416188840847 
 06/02  04:00:00,19.520159849695437,1193.8421885357967,0.39349795201021117,0.10675597077124317,0.28674198123896796,14.348241101949299,15.073057192389938,14.998938837784407,12.20000000000001,12.979457691392812 
 06/02  05:00:00,19.48847726099564,1181.59880207769,0.39349795201021117,0.10549899872757897,0.28799895328263216,14.362187852379757,15.07957349864702,14.998938837784407,12.200000000000009,12.972027465751648 
 06/02  06:00:00,19.59727825784646,1226.1286448906199,0.39349795201021117,0.10990348932985543,0.2835944626803559,14.31663571435564,15.06104702865658,14.998938837784407,12.20000000000001,12.999052420208779 
 06/02  07:00:00,20.032932826316207,1400.3220422189009,0.39349795201021117,0.12799603730415086,0.26550191470606029,14.132664970980616,14.982787817303306,15.338637537594203,12.20000000000001,13.104761070572226 
 06/02  08:00:00,19.70474175227421,1403.953624364663,0.39349795201021117,0.12232273821641611,0.27117521379379497,14.265974505079646,15.11833508421506,15.178650135849939,12.200000000000009,13.107000891445358 
