Date/Time,PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) ,,
 07/21  21:00:00,23.56607579,3932.617125,0.393515492,0.115727899,0.277787593,12.61368762,15,6.7,9.140924393,45,
 07/21  22:00:00,23.45309508,3852.649082,0.393515492,0.113428851,0.280086641,12.66217974,15,6.7,9.09243303,46,
 07/21  23:00:00,23.10061217,3607.040617,0.393515492,0.106367286,0.287148205,12.81112407,15,6.7,8.943491031,47,
 07/21  24:00:00,22.92317108,3478.443905,0.393515492,0.10270292,0.290812572,12.88911339,15,6.702704152,8.868207078,48,
 06/01  01:00:00,21.91077948,4718.271788,0.393515492,0.372630597,0.020884895,12.13734722,15,11.88728818,14.80454337,49,
 06/01  02:00:00,21.73964862,4944.836967,0.393515492,0.295872874,0.097642618,12,15,10.93727588,13.99187829,50,
 06/01  03:00:00,21.51858977,4944.836967,0.393515492,0.294019315,0.099496176,12,15,10.91171972,13.96632213,51,
 06/01  04:00:00,21.3528559,4944.836967,0.393515492,0.292280037,0.101235455,12,15,10.88734184,13.94194425,52,
 06/01  05:00:00,21.12950222,4944.836967,0.393515492,0.2994073,0.094108192,12,15,10.98401953,14.03862194,53,
 06/01  06:00:00,20.79515854,4944.836967,0.393515492,0.347530123,0.045985369,12,15,11.52415768,14.57876009,54,
 06/01  07:00:00,20.65752724,4732.749382,0.393515492,0.393515492,0,12.12856785,15,12.07396544,15,55,
 06/01  08:00:00,20.24054209,4967.18147,0.393515492,0.393515492,0,11.98646249,15,11.93189136,15,56,
 06/01  09:00:00,20.80576847,6308.717616,0.393515492,0.393515492,0,11.17347702,15,11.11890588,15,57,
 06/01  10:00:00,21.2216609,7665.583173,0.393515492,0.393515492,0,10.35154363,15,10.2969725,15,58,
 06/01  11:00:00,21.48954617,8236.689709,0.393515492,0.378891873,0.014623619,10.00570819,15,9.751839339,14.80070228,59,
 06/01  12:00:00,21.9817604,0,0,0,0,15,15,9.206794294,9.206794294,60,
 06/01  13:00:00,22.46208762,0,0,0,0,15,15,8.661749249,8.661749249,61,
 06/01  14:00:00,23.20558945,0,0,0,0,15,15,8.384772797,8.384772797,62,
 06/01  15:00:00,23.45575727,0,0,0,0,15,15,8.238465452,8.238465452,63,
 06/01  16:00:00,23.24738057,0,0,0,0,15,15,7.819366856,7.819366856,64,
 06/01  17:00:00,23.07228092,0,0,0,0,15,15,7.810499047,7.810499047,65,
 06/01  18:00:00,22.48127008,0,0,0,0,15,15,8.355367868,8.355367868,66,
 06/01  19:00:00,22.06641269,0,0,0,0,15,15,9.168481505,9.168481505,67,
 06/01  20:00:00,21.82849331,0,0,0,0,15,15,10.55092195,10.55092195,68,
 06/01  21:00:00,21.60415472,0,0,0,0,15,15,12.0008586,12.0008783,69,
 06/01  22:00:00,22.13391585,0,0,0,0,15,15,12.19997117,12.19997117,70,
 06/01  23:00:00,22.09405201,0,0,0,0,15,15,12.2,12.2,71,
 06/01  24:00:00,22.0772385,0,0,0,0,15,15,12.2,12.2,72,
 06/02  01:00:00,21.84636221,2719.333293,0.393515492,0.239631672,0.15388382,13.34956059,15,12.2,13.90506294,73,
 06/02  02:00:00,21.58392381,2533.827117,0.393515492,0.223815501,0.169699991,13.46209992,15,12.2,13.79252537,74,
 06/02  03:00:00,21.31758033,2345.579094,0.393515492,0.207764527,0.185750965,13.57630999,15,12.2,13.67831708,75,
 06/02  04:00:00,21.09282769,2185.912839,0.393515492,0.194149774,0.199365717,13.67318522,15,12.2,13.58144337,76,
 06/02  05:00:00,20.94623485,2081.185506,0.393515492,0.185219258,0.208296233,13.73672995,15,12.2,13.51789964,77,
 06/02  06:00:00,21.03005256,2136.680512,0.393515492,0.189951555,0.203563937,13.70305748,15,12.2,13.55157158,78,
 06/02  07:00:00,21.44400687,2426.209632,0.393515492,0.195665698,0.197849793,13.52739105,15,11.90127544,13.42851071,79,
 06/02  08:00:00,21.07840375,2179.661673,0.393515492,0.123335467,0.270180024,13.67697905,15,10.57408512,11.95173472,80,
 06/02  09:00:00,21.95559315,2778.576888,0.393515492,0.126837767,0.266677725,13.31362619,15,9.605708219,11.34670499,81,
 06/02  10:00:00,22.62118176,3257.08287,0.393515492,0.131215047,0.262300445,13.02337113,15,8.909545058,10.94079235,82,
 06/02  11:00:00,23.16482314,3641.79541,0.393515492,0.131905037,0.261610454,12.79004763,15,8.242602592,10.50716973,83,
 06/02  12:00:00,23.52845147,3901.699247,0.393515492,0.133119077,0.260396415,12.63243605,15,7.839767803,10.26194405,84,
