Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),Environment:Site Daylight Saving Time Status [](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call) 
 01/21  00:39:00,-6.3,,19.099736535507735,13.40672551009542,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:40:00,-6.3,,19.104108868080116,13.406525023740962,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:41:00,-6.3,,19.104955479083718,13.406327118608625,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:42:00,-6.3,,19.10270802969213,13.406131834390174,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:43:00,-6.3,,19.097790280661294,13.405939090080315,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:44:00,-6.3,,19.09059186842561,13.405748694683592,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:45:00,-6.3,,19.081458719025453,13.4055603611239,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:46:00,-6.3,,19.070691583326373,13.405373721920105,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:47:00,-6.3,,19.058548412039774,13.40518834544138,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:48:00,-6.3,,19.04524845081475,13.405003751830125,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:49:00,-6.3,,19.030976948568627,13.404819429217208,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:50:00,-6.3,,19.015889871050786,13.404634852411082,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:51:00,-6.3,,19.000118293533803,13.404449504022546,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:52:00,-6.3,,18.983772323782877,13.40426289749179,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:53:00,-6.3,,18.9677605754191,13.404074600536064,0.0,0.0,13.92286957,13.92286957,19660.476683252844,0.0 
 01/21  00:54:00,-6.3,,18.953852344859475,13.403884259246068,0.0,0.0,13.92286957,13.92286957,19868.096297577224,0.0 
 01/21  00:55:00,-6.3,,18.943785417445534,13.403691621330515,0.0,0.0,13.92286957,13.92286957,20048.44021749896,0.0 
 01/21  00:56:00,-6.3,,18.93870705547863,13.403496556863893,0.0,0.0,13.92286957,13.92286957,20178.975093493038,0.0 
 01/21  00:57:00,-6.3,,18.939082258710287,13.403299074081012,0.0,0.0,13.92286957,13.92286957,20244.824713972524,0.0 
 01/21  00:58:00,-6.3,,18.944854678432596,13.403099328344944,0.0,0.0,13.92286957,13.92286957,20239.95956442859,0.0 
 01/21  00:59:00,-6.3,,18.955655856231958,13.402897622087675,0.0,0.0,13.92286957,13.92286957,20165.110301922352,0.0 
 01/21  01:00:00,-6.3,0.0,18.970967707455594,13.402694393791082,0.0,0.0,13.92286957,13.92286957,20025.054617933103,0.0 
 01/21  01:01:00,-6.3,,18.990222583951736,13.402490196285508,0.0,0.0,13.56589012,13.56589012,19826.51036321352,0.0 
 01/21  01:02:00,-6.3,,19.012856649044186,13.402285667123549,0.0,0.0,13.56589012,13.56589012,19576.838063776417,0.0 
 01/21  01:03:00,-6.3,,19.03743497960443,13.40208149380921,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:04:00,-6.3,,19.061799186534438,13.401878375966313,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:05:00,-6.3,,19.083893019525666,13.401676986599523,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:06:00,-6.3,,19.102321079266824,13.401477935714074,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:07:00,-6.3,,19.11643714383605,13.401281739195666,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:08:00,-6.3,,19.126164328163538,13.401088795540695,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:09:00,-6.3,,19.131762265055163,13.400899371268695,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:10:00,-6.3,,19.133646105518545,13.40071359499592,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:11:00,-6.3,,19.132275928165677,13.40053145924384,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:12:00,-6.3,,19.128099443991574,13.40035282852091,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:13:00,-6.3,,19.1215264596364,13.400177452009509,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:14:00,-6.3,,19.112919893325036,13.400004979226888,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:15:00,-6.3,,19.102594824096497,13.39983497721636,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:16:00,-6.3,,19.090821299891247,13.399666948087468,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:17:00,-6.3,,19.07782879507478,13.399500346006244,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:18:00,-6.3,,19.06381122118104,13.399334593002504,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:19:00,-6.3,,19.04893189321272,13.39916909319217,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:20:00,-6.3,,19.033328135944303,13.399003246733317,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:21:00,-6.3,,19.0171153849046,13.398836465821825,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:22:00,-6.3,,19.000390743370834,13.398668193186016,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:23:00,-6.3,,18.983236014555297,13.39849792237886,0.0,0.0,13.56589012,13.56589012,0.0,0.0 
 01/21  01:24:00,-6.3,,18.966534463466745,13.398325218632463,0.0,0.0,13.56589012,13.56589012,19667.43084668704,0.0 
 01/21  01:25:00,-6.3,,18.952036185549518,13.398149740249096,0.0,0.0,13.56589012,13.56589012,19883.994929312063,0.0 
 01/21  01:26:00,-6.3,,18.941463851197598,13.397971259097753,0.0,0.0,13.56589012,13.56589012,20071.989819136335,0.0 
 01/21  01:27:00,-6.3,,18.935952883155946,13.39778967867864,0.0,0.0,13.56589012,13.56589012,20209.07815769778,0.0 
 01/21  01:28:00,-6.3,,18.935959077480999,13.397605047395937,0.0,0.0,13.56589012,13.56589012,20280.537253442133,0.0 
 01/21  01:29:00,-6.3,,18.941418856915818,13.397417565248148,0.0,0.0,13.56589012,13.56589012,20280.45693345775,0.0 
 01/21  01:30:00,-6.3,,18.951957922661224,13.39722758179046,0.0,0.0,13.56589012,13.56589012,20209.661585267186,0.0 
